"","Speaker","Listener","Count","Dialogues","dialouge_lengths"
"63","BOGROD","GOBLIN",2,"I am fully aware of that. I am also aware the Lestranges are one of our oldest and most respected families.|Let me be specific with you, Ricbert. I have run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!",363
"64","BOGROD","GUARD",1,"Teffington, see to that door, will you.",39
"65","BOGROD","GRIPHOOK",3,"What the devil are you all doing down here!|Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --|Hm? Oh. Yes. Of course.",165
"66","GRIPHOOK","BOGROD",2,"We need him!|Ready, Bogrod?",27
"67","RON","BOGROD",1,"Imperio!",8
"68","HERMIONE","GRIPHOOK",1,"It  hot!",8
"69","RON","RON",2,"Bloody hell.|Can not believe I just said that.",46
"70","VOLDEMORT","NAGINI",7,"The boy has discovered our secret, Nagini.  We must find out just how  much he knows.  We must return to  our hiding places and see if the others are safe. |And you, my friend, must stay close  |Nagini! Come!|Behold, Nagini. Our work is done.|Nagini! With me!|Now, my sweet. Now.|Nagini!",287
"71","DEATH EATER #1","DEATH EATER #2",2,"There!  Right there! |I have got them!  Down here!!",51
"72","HERMIONE ","HARRY",1,"They were ready for us.",23
"73","DEATH EATER #1","HARRY",2,"We knowyou are here, Potter.  There  no getting away. |Perhaps you need some convincing",87
"74","HARRY","DEATH EATER #1",1,"Expecto Patronum! ",18
"75","DEATH EATER #2","DEATH EATER #1",1,"It  him!  He  down there! ",26
"76","ABERFORTH","HARRY",17,"In here, Potter.|You bloody fools!  What were you thinking coming here?  Do you have any idea how dangerous it is -- |Where have you left him?|Sorry to hear it.  I liked that  elf|Mundungus Fletcher, About a year ago.|Sirius.  Albus told me.  He also told me that you had likely be hacked off if you ever found out I had it.  But ask yourself where you had be if I did not. |Right then.  Reckonyou are hungry.  Let  get you fed, then think of the best way to get you out of here.|Did he now?  Nice job?  Easy? |It  not a job my brother  given you, it  a suicide mission.  Do yourself a favor boy.  Go home.  Live a little longer. |What makes you think you can trust him!  What makes you think you can believe anything my brother told you!  In all the time you knew him, did he ever mention my name?  Did he ever mention hers?|Keep secrets? You tell me.|Did you now?  And why is that? |That  a boy  answer.  A boy who goes chasing Horcruxes on the word of a man who will not even tell him where to start. you are lying.  Not just to me, which does not matter, but to yourself as well. That  what a fool does.|You Do not strike me as a fool, Mr. Potter.  So I will ask you again.  There must be a reason.  Why do you trust anything my brother ever said to you?  Why? |You know what to do |You will see soon enough. |My brother sacrificed many things, Mr. Potter, in his journey to find power, including her.  She was devoted to him -- he gave her everything, but time. ",1467
